_mean1,_mean2,_mean3,_mean4,label
0.006707531,0.005233755,0.004630416,0.009329844,1
0.005054194,0.0035123,0.002851844,0.006839896,1
0.006599797,0.005137364,0.004664772,0.009316389,1
0.005235861,0.003612918,0.003052922,0.00600344,1
0.004964758,0.003532781,0.002786476,0.008208084,1
0.005338499,0.003731086,0.003206014,0.006253716,1
0.00561583,0.003900232,0.003365157,0.007482627,1
0.006697637,0.003512139,0.002869097,0.006708844,1
0.005561793,0.003900206,0.003429132,0.007580424,1
0.006473306,0.00501346,0.004369145,0.010181878,1
0.006903893,0.005508897,0.004855749,0.010422753,1
0.005500961,0.004078886,0.003750202,0.00743075,1
0.005183133,0.003599934,0.003078535,0.005305574,1
0.005657928,0.003941235,0.003430568,0.007419554,1
0.006838332,0.003572725,0.002897337,0.007033101,1
0.006487145,0.004952148,0.004231292,0.009810396,1
0.005182191,0.003647496,0.003024243,0.007050488,1
0.006626309,0.005102611,0.004586893,0.009298623,1
0.00642323,0.005056721,0.00435337,0.010111537,1
0.005230776,0.003653413,0.003080716,0.006012123,1
0.005149596,0.003631762,0.002987832,0.00730022,1
0.005503886,0.00383695,0.003379814,0.005692577,1
0.006297631,0.004856721,0.00404589,0.010612789,1
0.006682981,0.005174297,0.004577774,0.009995301,1
0.005108655,0.003546305,0.002879574,0.006551359,1
0.006516017,0.004981343,0.004427823,0.010089151,1
0.006639466,0.005076396,0.004400006,0.010155792,1
0.006835514,0.005326515,0.00478462,0.009915024,1
0.005097903,0.003647979,0.003134641,0.007040356,1
0.005188486,0.003647049,0.003031811,0.00674341,1
0.00652466,0.004971695,0.004403703,0.010057984,1
0.006330761,0.004961473,0.004178151,0.01075597,1
0.002741815,0.001804727,0.001418084,0.003217445,1
0.006361722,0.004898581,0.004196667,0.010171168,1
0.00441974,0.00306421,0.002600394,0.004544987,1
0.006734138,0.003534195,0.002890532,0.006671058,1
0.007125001,0.00544592,0.004976294,0.008928095,1
0.005131555,0.003671269,0.003176177,0.006839583,1
0.005201692,0.003604105,0.002990942,0.005964572,1
0.005156941,0.003584739,0.002906537,0.007408329,1
0.006628808,0.00510228,0.004585368,0.009293543,1
0.005502203,0.004060048,0.003719477,0.007452801,1
0.00621918,0.004763988,0.003953106,0.009509586,1
0.0067969,0.005219701,0.004717524,0.008833636,1
0.005321958,0.003738343,0.003209305,0.006131088,1
0.00624629,0.00491198,0.004148764,0.01020019,1
0.006846597,0.005405235,0.004812604,0.01062193,1
0.006295657,0.00489228,0.004094749,0.010820707,1
0.004978674,0.00344444,0.002739873,0.007274942,1
0.005286075,0.00373186,0.00331507,0.0053593,1
0.006596929,0.005094351,0.004443822,0.010293512,1
0.006732486,0.00529239,0.005103248,0.008922138,1
0.006830643,0.005378517,0.004905544,0.009304833,1
0.006569809,0.005135204,0.004454857,0.009821498,1
0.006961293,0.003773123,0.003200928,0.006231774,1
0.006747987,0.003498102,0.002846129,0.006532582,1
0.005185648,0.003656228,0.003011795,0.005965036,1
0.006348341,0.004919556,0.004132325,0.010402552,1
0.005510392,0.003969907,0.003572412,0.007553993,1
0.005361254,0.003755753,0.003231147,0.006276946,1
0.005480163,0.004054322,0.0037257,0.007341516,1
0.002744382,0.00182252,0.001442341,0.003198947,1
0.005467958,0.003899475,0.00335485,0.006465558,1
0.006778343,0.005328135,0.004785695,0.010131106,1
0.005303774,0.00373952,0.003120129,0.007751864,1
0.005537103,0.003988352,0.003773696,0.005292254,1
0.006277869,0.004844662,0.004055086,0.010976587,1
0.006455511,0.005032735,0.00441147,0.010159237,1
0.005266065,0.003715152,0.003095453,0.007030615,1
0.006748324,0.003495528,0.002843046,0.00652448,1
0.006773828,0.005203454,0.004643078,0.008974173,1
0.006650947,0.005073043,0.004519908,0.009278958,1
0.006605089,0.005183782,0.004683338,0.009313285,1
0.006757282,0.005247273,0.0045914,0.009663793,1
0.006218716,0.004745506,0.003866715,0.011459122,1
0.005159006,0.003628754,0.002977757,0.007385082,1
0.005442325,0.003804628,0.003208338,0.007726958,1
0.006766748,0.005249897,0.004608929,0.00922661,1
0.006338295,0.00492303,0.00412362,0.011352542,1
0.006310069,0.004895199,0.00410416,0.010900428,1
0.00541119,0.003740728,0.003259714,0.005556382,1
0.004943389,0.003423592,0.002713398,0.007319277,1
0.005337823,0.00377775,0.003227828,0.006176839,1
0.004850507,0.003338539,0.002606383,0.007534723,1
0.005206613,0.003654383,0.003021206,0.0068436,1
0.005251813,0.003716883,0.003132033,0.006994723,1
0.005627414,0.004028479,0.003579837,0.006642202,1
0.006877089,0.005285037,0.004781662,0.008445766,1
0.006832733,0.003652567,0.003002479,0.006993721,1
0.005462219,0.003864485,0.003364198,0.006025016,1
0.005094942,0.0036229,0.003065248,0.00705532,1
0.006232906,0.004762628,0.003975775,0.009533333,1
0.006820189,0.005414997,0.004820738,0.010288359,1
0.006748099,0.00353917,0.002895248,0.00664826,1
0.00517939,0.003689533,0.003140995,0.006869067,1
